Date,NYSE,Nasdaq,Nikkei,Shanghai,DAX
2005-01-26,7046.399901999999,2034.689941,11346.80957,,4235.799805
2005-01-27,7048.970215,2042.77002,11390.089844,,4209.930176
2005-01-28,7031.990234000001,2052.540039,11334.410156,,4225.359863000001
2005-01-31,7089.830078,2053.469971,11296.990234,,4211.859863000001
2005-02-01,7146.209961,2063.27002,11422.019531,,4256.649902
2005-02-02,7169.390137,2074.060059,11432.339844,,4282.549805
2005-02-03,7148.319823999999,2065.439941,11430.900391,,4297.160156
2005-02-04,7217.430176000001,2056.469971,11381.5,,4295.390136999999
2005-02-07,7200.910156,2086.550049,11393.040039,,4342.75
2005-02-08,7207.450195,2082.110107,11504.120117,,4369.069824
2005-02-09,7161.990234000001,2088.52002,11519.900391,,4373.47998
2005-02-10,7210.649901999999,2058.530029,11434.889648,,4362.540039
2005-02-11,7261.640137,2048.959961,,,4355.220215
2005-02-14,7280.370117,2076.75,11644.400391,,4395.370117
2005-02-15,7303.959961,2083.639893,11648.679688,,4386.330078
2005-02-16,7306.759765999999,2082.459961,11629.69043,,4392.790039
2005-02-17,7272.540039,2088.669922,11583.839844,,4370.319824
2005-02-18,7287.470215,2065.149902,11562.929688,,4363.470215
2005-02-21,,,11682.19043,,4363.209961
2005-02-22,7211.169922,2046.180054,11636.469727,,4347.299805
2005-02-23,7243.279785,2039.550049,11510.759766,,4293.649902
2005-02-24,7283.279785,2028.430054,11513.839844,,4304.740234000001
2005-02-25,7361.890137,2050.48999,11585.839844,,4327.700195
2005-02-28,7321.22998,2058.280029,11742.009766,,4360.339844
2005-03-01,7351.029785,2057.469971,11734.139648,,4345.240234000001
2005-03-02,7343.140137,2060.300049,11804.839844,,4374.950195
2005-03-03,7357.120117,2073.330078,11790.910156,,4378.720215
2005-03-04,7441.180176000001,2071.149902,11815.790039,,4380.72998
2005-03-07,7440.310059,2073.899902,11935.799805,,4424.77002
2005-03-08,7426.169922,2087.110107,11936.839844,,4417.109863000001
2005-03-09,7354.740234000001,2070.850098,11882.25,,4395.240234000001
2005-03-10,7354.97998,2065.090088,11892.379883,,4358.290039
2005-03-11,7330.430176000001,2063.560059,11838.019531,,4359.930176
2005-03-14,7353.890137,2043.640015,11947.290039,,4353.72998
2005-03-15,7310.410156,2057.169922,11899.200195,,4370.379883
2005-03-16,7264.470215,2028.290039,11822.179688,,4378.959961
2005-03-17,7284.310059,2016.910034,11785.950195,,4307.72998
2005-03-18,7276.839844,2018.410034,11792.290039,,4316.930176
2005-03-21,7229.200195,2008.160034,,,4322.470215
2005-03-22,7158.970215,2007.719971,11867.339844,,4301.240234000001
2005-03-23,7127.180176000001,1985.4899899999998,11823.969727,,4291.379883
2005-03-24,7128.799805,1997.47998,11741.169922,,4325.240234000001
2005-03-25,,,11788.679688,,
2005-03-28,7131.52002,1998.7600100000002,11709.790039,,
2005-03-29,7070.529785,1990.27002,11809.660156,,4331.959961
2005-03-30,7158.5,1980.069946,11548.929688,,4325.970215
2005-03-31,7167.529785,2005.709961,11623.099609,,4369.27002
2005-04-01,7136.359863,2009.089966,11590.450195,,4348.029785
2005-04-04,7137.529785,1983.810059,11666.30957,,4355.839844
2005-04-05,7170.899901999999,1994.380005,11695.969727,,4356.620117
2005-04-06,7191.180176000001,2004.25,11783.740234,,4373.160156
2005-04-07,7227.080078,1999.609985,11848.490234,,4368.350098
2005-04-08,7181.5,2018.4200440000002,11867.150391,,4399.439941
2005-04-11,7189.419922,2004.160034,11847.919922,,4388.810059
2005-04-12,7208.040039,1988.3299559999998,11739.049805,,4395.879883
2005-04-13,7133.990234000001,2000.459961,11688.219727,,4395.339844
2005-04-14,7063.740234000001,1974.180054,11578.780273,,4385.609863000001
2005-04-15,6958.350098000001,1932.959961,11463.150391,,4381.450195
2005-04-18,6969.089844,1906.430054,11223.650391,,4266.27002
2005-04-19,7030.740234000001,1922.819946,11019.759766,,4211.259765999999
2005-04-20,6937.600098000001,1944.640015,11173.839844,,4215.189941
2005-04-21,7049.180176000001,1931.8499760000002,10950.730469,,4160.259765999999
2005-04-22,7015.850098000001,1953.5799559999998,11116.610352,,4210.180176
2005-04-25,7071.859863,1942.02002,11064.950195,,4214.970215
2005-04-26,7011.209961,1943.75,11085.75,,4247.049805
2005-04-27,7010.209961,1919.4200440000002,10968.769531,,4219.649902
2005-04-28,6935.310059,1922.030029,10979.049805,,4204.720215
2005-04-29,7008.319823999999,1917.640015,,,4163.22998
2005-05-02,7043.009765999999,1923.22998,10954.209961,,4208.629883
2005-05-03,7032.029785,1924.780029,,,4229.990234000001
2005-05-04,7124.689941,1937.790039,,,4249.189941
2005-05-05,7117.290039,1960.380005,,,4271.029785
2005-05-06,7110.080078,1972.660034,11119.780273,,4297.140136999999
2005-05-09,7144.600098000001,1967.7399899999998,11199.099609,,4305.689941
2005-05-10,7066.810059,1968.0799559999998,11193.219727,,4299.640136999999
2005-05-11,7079.859863,1966.060059,11091.259766,,4246.879883
2005-05-12,6989.640137,1970.800049,11118.129883,,4265.220215
2005-05-13,6937.689941,1978.280029,11044.709961,,4255.620117
2005-05-16,6996.129883,1976.380005,11045.290039,,4266.819824
2005-05-17,7034.640137,1986.160034,11046.299805,,4274.290039
2005-05-18,7113.120117,2008.630005,10848.629883,,4273.990234000001
2005-05-19,7140.959961,2032.089966,10973.280273,,4338.169922
2005-05-20,7121.02002,2040.630005,11104.330078,,4358.660156
2005-05-23,7155.950195,2045.689941,11073.009766,,4383.02002
