Data,ca.f,cb.f,cc.f,ck.f,cl.f,ct.f,dl.f,fi.f,gc.f,gf.f,he.f,hg.f,ho.f,kc.f,ke.f,le.f,lf.f,ls.f,lu.f,mw.f,ng.f,oj.f,pa.f,pl.f,rb.f,rm.f,rs.f,sb.f,si.f,sw.f,tr.f,ux.f,xr.f,zc.f,zk.f,zl.f,zm.f,zo.f,zr.f,zs.f,zw.f
2006-11-03,830.0,59.15,1484.0,,59.08,49.21,12.72,,629.0,101.43,64.18,331.75,1.6771,112.45,522.5,85.9,523.25,238.9,68.75,503.0,7.88,196.8,335.75,1208.0,1.5069,,331.5,11.31,1259.0,400.8,,,275.0,342.25,2.02,27.68,195.5,258.25,9.77,649.0,492.5
2006-11-06,839.0001,59.75,1493.0,,60.04,49.92,12.59,,627.0,100.35,64.53,333.25,1.7167,113.2,526.5,85.55,536.5,242.3,68.75,509.75,7.499,196.15,332.25,1196.5,1.5290000000000001,,332.7,11.75,1271.0,407.0,,,273.75,343.5,2.07,27.54,196.5,261.0,10.05,649.25,498.0
2006-11-07,847.0,58.48,1516.0,,58.88,49.89,12.68,,627.5,99.63,64.63,336.45,1.6823,112.95,525.75,85.3,530.25,236.5,68.5,509.75,7.769,197.2,331.0,1188.0,1.5241,,335.3,11.58,1262.0,401.9,,,273.75,351.0,2.12,27.67,197.4,265.25,10.05,654.75,497.0
2006-11-08,853.0,59.59,1528.0,,59.86,49.52,12.72,,618.2,98.95,65.3,324.0,1.695,115.75,531.5,85.45,537.25,233.4,68.25,514.25,7.825,198.45,326.0,1158.5,1.5636,,349.3,11.96,1250.0,404.5,,,274.5,357.75,2.12,27.72,201.0,271.25,9.98,666.25,504.0
2006-11-09,857.0,61.32,1530.0,,61.06,49.83,12.75,,636.2,100.47,64.7,330.5,1.7375,119.2,514.75,85.88,542.75,233.5,68.1,501.0,7.897,195.7,338.95,1205.0,1.601,,348.2,12.18,1302.0,402.0,,,275.75,350.0,2.12,27.71,198.3,267.0,9.81,657.5,488.0
2006-11-10,843.9999,59.71,1509.0,,59.6,49.09,12.75,,629.4,98.8,62.98,308.25,1.7046,115.85,508.75,85.7,542.75,233.9,67.75,497.25,7.785,194.65,329.5,1213.0,1.5627,,347.1,11.85,1305.0,412.6,,,274.75,343.25,2.12,27.69,195.5,260.25,9.95,651.25,480.5
2006-11-13,843.0,59.05,1500.0,,58.51,47.83,12.8,,625.0,97.8,61.23,307.25,1.6645,115.15,508.5,85.75,521.75,233.1,67.6,494.0,7.935,194.3,324.0,1205.0,1.537,,,11.67,1283.0,416.0,,,275.25,342.5,2.12,27.99,191.8,264.5,10.01,646.5,477.0
2006-11-14,835.9999,58.84,1473.0,,58.21,48.56,12.75,,624.8,97.15,61.67,308.5,1.6645,115.8,518.75,85.85,528.75,233.5,67.4,499.0,7.98,195.6,318.0,1172.0,1.5448,,353.1,11.67,1285.0,419.4,,,275.5,357.75,2.12,28.66,194.4,264.0,10.03,671.25,486.5
2006-11-15,845.0,60.61,1513.0,,58.71,48.69,12.79,,623.0,97.22,60.95,309.5,1.693,118.15,521.75,86.72,534.0,249.0,67.25,499.5,8.176,196.45,322.8,1168.0,1.5821,,351.2,11.79,1290.0,370.0,,,276.75,358.25,2.12,28.39,192.5,262.25,9.99,663.75,481.5
2006-11-16,820.0,58.54,1468.0,,58.48,47.88,12.83,,621.2,98.2,62.05,304.15,1.6617,116.5,511.5,88.13,541.0,268.5,67.14,490.5,7.749,205.0,320.0,1175.0,1.5296,,351.0,11.53,1291.0,363.0,,,276.0,351.5,2.12,28.33,190.0,251.5,9.87,656.5,468.75
2006-11-17,822.9999,58.99,1470.0,,58.91,47.4,12.87,,622.2,98.38,61.25,305.25,1.676,113.4,515.25,87.58,519.75,259.9,67.2,496.0,8.156,199.55,317.75,1190.3,1.5411,,354.6,11.35,1276.0,353.5,,,275.0,355.25,2.085,28.28,190.4,256.25,10.0,660.5,474.0
2006-11-20,810.9999,58.98,1437.0,,58.73,46.9,12.87,,621.8,97.68,62.05,304.15,1.7031,115.15,515.0,87.43,523.5,261.7,67.0,496.0,8.045,199.65,322.5,1231.0,1.5543,,359.8,11.49,1271.0,350.5,,,277.0,360.0,2.12,28.72,191.9,255.25,10.1,667.5,475.0
2006-11-21,809.0,60.39,1410.0,,60.05,46.8,12.9,,628.3,98.78,62.35,310.35,1.7731,115.4,514.75,87.88,537.5,262.3,67.0,499.5,7.995,197.3,328.0,1219.0,1.6327,,364.1,11.48,1304.0,347.4,,,277.5,361.25,2.18,28.88,192.0,255.5,9.88,673.0,479.75
2006-11-22,814.0001,59.49,1425.0,,59.21,47.59,12.9,,628.5,99.2,62.2,311.25,1.72,115.55,513.0,87.75,529.25,260.2,67.0,500.5,7.73,196.05,324.0,1157.0,1.5888,,366.0,11.47,1301.0,346.2,,,277.25,362.75,2.17,28.87,192.1,254.75,9.89,674.0,486.25
2006-11-23,817.0,59.35,,,,,,,,,,,,,,,,,67.0,,,,,,,,367.3,,,344.0,,,277.5,,,,,,,,
2006-11-24,810.0001,60.03,,,59.9,,12.9,,638.6,98.5,62.98,322.4,1.7469999999999999,,521.0,87.65,536.25,263.0,66.2,509.5,7.956,,330.95,1188.0,1.599,,369.8,,1342.0,345.9,,,278.25,369.25,2.175,28.89,194.8,257.5,9.87,684.25,500.0
2006-11-27,801.0,60.44,1434.0,,60.26,49.0,12.89,,640.1,97.63,62.45,318.75,1.7507,118.0,518.0,86.63,538.75,264.0,66.5,500.25,8.35,197.4,324.5,1147.0,1.5937,,371.6,11.81,1346.0,351.5,,,280.5,371.5,2.197,29.11,195.9,260.0,9.87,688.0,490.25
2006-11-28,812.0,61.21,1463.0,,60.91,48.71,12.88,,643.2,98.58,61.15,313.25,1.778,120.35,518.5,86.38,547.75,264.5,66.75,499.0,8.565,197.4,324.0,1165.0,1.6266,,370.2,11.99,1375.0,358.5,,,280.0,368.75,2.215,28.76,195.8,255.5,9.88,686.25,487.25
2006-11-29,809.0,63.07,1465.0,,62.41,47.78,12.85,,641.3,97.95,61.25,315.3,1.8305,118.55,522.25,85.2,555.5,263.5,67.3,499.0,8.88,199.7,317.7,1150.0,1.6706,,369.7,12.36,1371.0,369.9,,,279.0,370.25,2.26,28.98,193.6,250.0,9.88,682.25,490.5
2006-11-30,824.0,64.26,1557.0,,62.92,48.9,13.53,,651.9,97.88,61.67,319.45,1.8611,119.7,534.0,85.7,566.75,266.6,68.75,509.25,8.817,202.85,328.65,1189.0,1.655,,372.1,12.37,1408.0,369.4,,66.57,280.5,377.0,2.275,29.18,193.4,256.75,9.98,685.5,502.0
2006-12-01,816.0,64.62,1563.0,,63.36,49.33,13.35,,650.5,96.97,61.13,317.0,1.841,123.2,529.5,85.5,562.5,263.6,67.0,512.5,8.432,203.5,329.0,1166.0,1.6855,,372.7,12.26,1414.0,374.0,,,279.0,374.0,2.315,29.23,188.4,256.0,10.07,677.0,500.0
